"sigmaA","sigmaB","size","mean_density","sd_density","se","ci_lower","ci_upper","log2_size","log2_density","log2_ci_lower","log2_ci_upper","sigma"
0.75,0.75,64,0.0353273043616759,0.0073344288722026,0.00103724487833297,0.0332428827393388,0.037411725984013,6,-4.82307252071633,-4.91081069534945,-4.74036566384493,"sigma = 0.75"
0.75,0.75,128,0.0227897053956913,0.00505752958357852,0.000715242692919989,0.0213523713914616,0.0242270393999209,7,-5.4554739148829,-5.54945988551604,-5.36723807487483,"sigma = 0.75"
0.75,0.75,256,0.0164563813667299,0.00312916180498913,0.000442530306347551,0.0155670834214146,0.0173456793120451,8,-5.9252090568229,-6.00535751688044,-5.84927984751147,"sigma = 0.75"
0.75,0.75,512,0.0100242615270814,0.00205500980257629,0.000290622273361304,0.00944023420317627,0.0106082888509864,9,-6.6403602304471,-6.72696163274768,-6.55866422582054,"sigma = 0.75"
0.75,0.75,1024,0.00689889490735096,0.00122504360940015,0.000173247328691219,0.00655074136571429,0.00724704844898762,10,-7.17941900094074,-7.2541260949411,-7.10839074539938,"sigma = 0.75"
0.75,0.75,2048,0.00448832435355617,0.000745513225911095,0.000105431491501199,0.00427645183902176,0.00470019686809058,11,-7.79960734704908,-7.86936999206264,-7.73306309921866,"sigma = 0.75"
0.75,0.75,4096,0.00288089540024625,0.000486825052278571,6.88474591435347e-05,0.00274254125121214,0.00301924954928037,12,-8.43926700468687,-8.51027096395281,-8.37159428016883,"sigma = 0.75"
0.75,0.75,8192,0.0018673495890874,0.000278220545117993,3.93463268236702e-05,0.00178828018503056,0.00194641899314424,13,-9.06479224288816,-9.1272114911576,-9.00496198139532,"sigma = 0.75"
0.75,0.75,16384,0.00117903844478525,0.000175115632903543,2.47650903035739e-05,0.00112927113256592,0.00122880575700459,14,-9.7281735237687,-9.79039237282353,-9.66852740439003,"sigma = 0.75"
0.75,0.75,32768,0.00079256050727662,0.00010798362170117,1.52711902323961e-05,0.000761871901544107,0.000823249113009133,15,-10.3011912989149,-10.3581639310993,-10.2463833271267,"sigma = 0.75"
0.75,0.75,65536,0.000491318001597303,5.96570960349057e-05,8.43678743043578e-06,0.000474363642496176,0.00050827236069843,16,-10.9910552800099,-11.041718940493,-10.942110598827,"sigma = 0.75"
0.75,0.75,131072,0.000322540479302301,3.39636509369876e-05,4.80318557827936e-06,0.000312888116504854,0.000332192842099747,17,-11.5982321473114,-11.6420655135084,-11.555691392277,"sigma = 0.75"
